customer_id,orders_count,total_revenue,avg_order_value,first_order_date,last_order_date,is_one_order,is_zero_revenue,is_high_value,activity_segment,value_segment,customer_segment
1,2,197.85000000000002,98.92500000000001,2023-01-21,2023-12-15,False,False,False,repeat,low value,repeat_low value
2,1,147.38,147.38,2023-08-03,2023-08-03,True,False,False,one order,low value,one order_low value
3,1,123.02,123.02,2023-09-15,2023-09-15,True,False,False,one order,low value,one order_low value
4,3,390.7,130.23333333333332,2023-08-24,2023-10-21,False,False,False,repeat,mid value,repeat_mid value
5,2,231.14,115.57,2023-07-07,2023-09-28,False,False,False,repeat,mid value,repeat_mid value
6,1,93.23,93.23,2023-02-24,2023-02-24,True,False,False,one order,low value,one order_low value
7,20,1621.3,81.065,2023-01-02,2023-12-26,False,False,False,loyal,high value,loyal_high value
8,1,119.09,119.09,2023-05-19,2023-05-19,True,False,False,one order,low value,one order_low value
9,5,469.65,93.92999999999999,2023-03-03,2023-11-24,False,False,False,loyal,high value,loyal_high value
10,2,171.92000000000002,85.96000000000001,2023-02-04,2023-04-09,False,False,False,repeat,low value,repeat_low value
11,2,195.51999999999998,97.75999999999999,2023-04-11,2023-12-25,False,False,False,repeat,low value,repeat_low value
12,1,88.04,88.04,2023-07-26,2023-07-26,True,False,False,one order,low value,one order_low value
13,1,98.17,98.17,2023-03-04,2023-03-04,True,False,False,one order,low value,one order_low value
14,5,465.55,93.11,2023-01-13,2023-08-29,False,False,False,loyal,high value,loyal_high value
15,1,87.19,87.19,2023-03-07,2023-03-07,True,False,False,one order,low value,one order_low value
16,3,378.48,126.16000000000001,2023-01-28,2023-04-18,False,False,False,repeat,mid value,repeat_mid value
17,5,415.49,83.098,2023-04-26,2023-08-19,False,False,False,loyal,high value,loyal_high value
18,2,253.75,126.875,2023-05-17,2023-08-22,False,False,False,repeat,mid value,repeat_mid value
19,2,145.78,72.89,2023-08-21,2023-11-11,False,False,False,repeat,low value,repeat_low value
20,2,149.23,74.615,2023-04-23,2023-11-14,False,False,False,repeat,low value,repeat_low value
21,1,86.75,86.75,2023-03-22,2023-03-22,True,False,False,one order,low value,one order_low value
22,2,122.52000000000001,61.260000000000005,2023-05-06,2023-05-10,False,False,False,repeat,low value,repeat_low value
23,3,317.29999999999995,105.76666666666665,2023-09-04,2023-11-20,False,False,False,repeat,mid value,repeat_mid value
24,5,584.33,116.86600000000001,2023-05-24,2023-12-15,False,False,False,loyal,high value,loyal_high value
25,1,125.73,125.73,2023-12-12,2023-12-12,True,False,False,one order,low value,one order_low value
26,2,170.29000000000002,85.14500000000001,2023-05-08,2023-05-27,False,False,False,repeat,low value,repeat_low value
27,2,161.78,80.89,2023-05-31,2023-12-26,False,False,False,repeat,low value,repeat_low value
28,2,187.48,93.74,2023-10-25,2023-12-12,False,False,False,repeat,low value,repeat_low value
29,20,2002.29,100.11449999999999,2023-01-09,2023-12-15,False,False,False,loyal,high value,loyal_high value
30,3,329.08000000000004,109.69333333333334,2023-02-18,2023-11-13,False,False,False,repeat,mid value,repeat_mid value
31,5,440.34999999999997,88.07,2023-02-06,2023-08-21,False,False,False,loyal,high value,loyal_high value
32,2,111.11,55.555,2023-02-23,2023-05-08,False,False,False,repeat,low value,repeat_low value
33,3,276.5,92.16666666666667,2023-05-07,2023-12-26,False,False,False,repeat,mid value,repeat_mid value
34,5,411.9,82.38,2023-01-13,2023-10-26,False,False,False,loyal,high value,loyal_high value
35,1,64.5,64.5,2023-11-09,2023-11-09,True,False,False,one order,low value,one order_low value
36,1,114.85,114.85,2023-05-22,2023-05-22,True,False,False,one order,low value,one order_low value
37,5,433.16999999999996,86.63399999999999,2023-05-05,2023-12-08,False,False,False,loyal,high value,loyal_high value
38,1,104.23,104.23,2023-06-19,2023-06-19,True,False,False,one order,low value,one order_low value
39,5,461.83,92.366,2023-02-16,2023-12-16,False,False,False,loyal,high value,loyal_high value
40,1,112.67,112.67,2023-05-04,2023-05-04,True,False,False,one order,low value,one order_low value
41,3,282.57,94.19,2023-02-27,2023-05-27,False,False,False,repeat,mid value,repeat_mid value
42,1,149.84,149.84,2023-01-01,2023-01-01,True,False,False,one order,low value,one order_low value
43,2,265.11,132.555,2023-04-06,2023-08-25,False,False,False,repeat,mid value,repeat_mid value
44,1,164.04,164.04,2023-09-29,2023-09-29,True,False,False,one order,low value,one order_low value
45,2,209.41,104.705,2023-09-04,2023-12-15,False,False,False,repeat,low value,repeat_low value
46,1,82.21,82.21,2023-03-27,2023-03-27,True,False,False,one order,low value,one order_low value
47,1,113.31,113.31,2023-08-08,2023-08-08,True,False,False,one order,low value,one order_low value
48,2,184.39,92.195,2023-08-06,2023-12-07,False,False,False,repeat,low value,repeat_low value
49,2,243.14,121.57,2023-01-23,2023-09-07,False,False,False,repeat,mid value,repeat_mid value
50,1,139.7,139.7,2023-08-11,2023-08-11,True,False,False,one order,low value,one order_low value
51,1,134.89,134.89,2023-05-27,2023-05-27,True,False,False,one order,low value,one order_low value
52,3,288.27,96.08999999999999,2023-01-04,2023-06-09,False,False,False,repeat,mid value,repeat_mid value
53,10,1195.81,119.58099999999999,2023-02-02,2023-11-10,False,False,False,loyal,high value,loyal_high value
54,5,483.49,96.69800000000001,2023-04-06,2023-09-06,False,False,False,loyal,high value,loyal_high value
55,1,132.13,132.13,2023-07-02,2023-07-02,True,False,False,one order,low value,one order_low value
56,5,463.41999999999996,92.684,2023-01-19,2023-08-05,False,False,False,loyal,high value,loyal_high value
57,10,988.54,98.854,2023-01-25,2023-12-05,False,False,False,loyal,high value,loyal_high value
58,1,140.74,140.74,2023-01-07,2023-01-07,True,False,False,one order,low value,one order_low value
59,2,192.82999999999998,96.41499999999999,2023-06-14,2023-06-17,False,False,False,repeat,low value,repeat_low value
60,1,56.56,56.56,2023-05-16,2023-05-16,True,False,False,one order,low value,one order_low value
61,5,491.15000000000003,98.23,2023-04-01,2023-11-23,False,False,False,loyal,high value,loyal_high value
62,1,99.43,99.43,2023-01-19,2023-01-19,True,False,False,one order,low value,one order_low value
63,1,69.92,69.92,2023-08-08,2023-08-08,True,False,False,one order,low value,one order_low value
64,3,344.78,114.92666666666666,2023-05-28,2023-12-14,False,False,False,repeat,mid value,repeat_mid value
65,1,26.22,26.22,2023-04-27,2023-04-27,True,False,False,one order,low value,one order_low value
66,10,1039.62,103.96199999999999,2023-01-01,2023-11-26,False,False,False,loyal,high value,loyal_high value
67,1,36.28,36.28,2023-06-13,2023-06-13,True,False,False,one order,low value,one order_low value
68,3,350.77,116.92333333333333,2023-07-31,2023-12-23,False,False,False,repeat,mid value,repeat_mid value
69,3,370.82,123.60666666666667,2023-01-10,2023-11-08,False,False,False,repeat,mid value,repeat_mid value
70,1,131.11,131.11,2023-10-16,2023-10-16,True,False,False,one order,low value,one order_low value
71,5,458.03000000000003,91.60600000000001,2023-04-08,2023-12-08,False,False,False,loyal,high value,loyal_high value
72,1,82.02,82.02,2023-01-06,2023-01-06,True,False,False,one order,low value,one order_low value
73,3,341.36,113.78666666666668,2023-06-14,2023-07-21,False,False,False,repeat,mid value,repeat_mid value
74,2,192.53,96.265,2023-01-01,2023-02-20,False,False,False,repeat,low value,repeat_low value
75,5,495.90999999999997,99.18199999999999,2023-02-03,2023-11-02,False,False,False,loyal,high value,loyal_high value
76,5,569.86,113.97200000000001,2023-02-23,2023-10-30,False,False,False,loyal,high value,loyal_high value
77,1,89.73,89.73,2023-10-21,2023-10-21,True,False,False,one order,low value,one order_low value
78,3,248.39,82.79666666666667,2023-09-06,2023-12-04,False,False,False,repeat,mid value,repeat_mid value
79,2,151.12,75.56,2023-04-16,2023-09-04,False,False,False,repeat,low value,repeat_low value
80,2,136.31,68.155,2023-02-03,2023-09-19,False,False,False,repeat,low value,repeat_low value
81,3,278.91999999999996,92.97333333333331,2023-04-21,2023-08-28,False,False,False,repeat,mid value,repeat_mid value
82,2,252.07,126.035,2023-03-02,2023-12-18,False,False,False,repeat,mid value,repeat_mid value
83,1,84.09,84.09,2023-10-04,2023-10-04,True,False,False,one order,low value,one order_low value
84,1,76.21,76.21,2023-11-22,2023-11-22,True,False,False,one order,low value,one order_low value
85,1,123.58,123.58,2023-08-21,2023-08-21,True,False,False,one order,low value,one order_low value
86,1,91.39,91.39,2023-08-06,2023-08-06,True,False,False,one order,low value,one order_low value
87,3,234.97,78.32333333333334,2023-03-14,2023-08-27,False,False,False,repeat,mid value,repeat_mid value
